Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders,Data Year
Ninjacart,Food Industry,,30000000.0,Bangalore,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",2015,"Syngenta Ventures, Walmart","Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan",2020
Wow! Momo,Food Industry,Debt,5000000.0,Kolkata,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,2008,"Tiger Global Management, William Bissell","Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman",2020
Pepper Content,Content marketplace,Series A,4200000.0,Mumbai,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,2017,"Alok Mittal, Manan Maheshwari","Anirudh Singla, Rishabh Shekhar",2020
LIVSPACE,Interior Design,Debt,4000000.0,Bangalore,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",2014,"Mercer Investments, Bessemer Venture Partners","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag",2020
Acculi Labs,Healthcare,Seed,600000.0,Bangalore,Acculi Labs is a clinical grade smartphone based diagnostic tool,2017,Startup Basket.,"HariPrasath M., Rupam Das",2020
Your MD,Healthcare,,25000000.0,"London, England, United Kingdom",Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,2012,"Orkla Ventures, Smedvig Capital","Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi",2020
Antaios,Tech company,,11000000.0,France,Developer of memory-based technology intended to solve issues of advanced computing.,2016,,Jean Pierre Nozieres,2020
Unnati,AgriTech,Pre-series A,1700000.0,Noida,A helping hand to the farming community through Artificial Intelligence,2017,NABVENTURES,"Amit Sinha, Ashok Prasad",2020
Disprz,Edtech,Pre-series B,1600000.0,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",2015,"Xseed Partners, InnoVen Capital","Kuljit Chadha, Subramanian Viswanathan",2020
Uni,FinTech,Seed,18500000.0,Mumbai,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,,"Lightspeed India Partners, Accel India",Nitin Gupta,2020
Credit Wise Capital,FinTech,Seed,6000000.0,Mumbai,CreditWise Capital is a consumer finance company.,1994,Venture Catalysts,"Hirak Joshi, Aalesh Avlani",2020
Chargebee,SaaS startup,Series F,55000000.0,"San Francisco Bay Area, West Coast, Western US",Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,2011,"Accel, Steadview Capital","KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T",2020
Reliance Retail Ventures Ltd,Retail,,70000000000.0,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2006,"Silver Lake, Mubadala Investment Company",Mukesh Ambani,2020
Winuall,Edtech,,2000000.0,Bangalore,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",2019,"Amit Lakhotia, Akash Gehani","Ashwini Purohit, MS Chouhan",2020
Genrobotics,AI startup,,300000.0,"Trivandrum, Kerala, India",GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,2015,Unicorn India Ventures,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",2020
Livve,Rental space,Seed,1500000.0,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,2015,,Maya Lakshman,2020
Ergos,AgriTech,Series A,5000000.0,"Samastipur, Bihar",Ergos is building an integrated supply chain by setting up micro warehouses.,2012,"Aavishkaar Venture Capital, Chiratae Ventures","Kishor Kumar Jha, Praveen Kumar",2020
Krishitantra,Soil-Tech,Seed,1000000.0,Hyderabad,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,2017,"NABVENTURES, Omnivore","Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman",2020
PakkaProfile,Recruitment startup,Seed,,Bangalore,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",2019,Java Capital,"Nagmanjunath Shivakumar, Savio Sebastian",2020
Monet Networks,AI startup,Bridge,500000.0,"Irvine, California, United States",Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,2014,"SenseAI Ventures, EvoNexus",Anurag Bist,2020
Unocoin,FinTech,Series A,,"Tumkur, Karnataka","Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",2013,"Digital Finance Group, FundersClub","Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray",2020
Pesto,Edtech,,,New Delhi,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,2017,"Sriharsha Majety, Rahul Jaimini","Andrew Linfoot, Ayush Jaiswal",2020
NirogStreet,Ayurveda tech,Pre-series A,2000000.0,Gurugram,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2016,"Wavemaker Partners, Subho Ray",Ram N Kumar,2020
Bambrew,Packaging solution startup,Pre-seed,,Bangalore,Bambrew is an online shop for reusable bamboo straws.,2018,Upsparks,Vaibhav Anant,2020
Omnify,SaaS startup,Pre-series A,,"San Francisco Bay Area, Silicon Valley, West Coast",Omnify is a Global SaaS platform for Small Services Business,2016,"Saurabh Arora, LD Sharma","Kabandi Saika, Manik Mehta",2020
Fanball XI,Gaming,Seed,1000000.0,New Delhi,The gaming company mostly focused on fantasy football games,,Foxhog Ventures,Vinayak Seth,2020
Treebo Hotels,Hospitality,,6000000.0,Bangalore,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",2015,"Ramesh Mangaleswaran, Saikiran Krishnamurthy","Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta",2020
GPS Renewables,Cleantech,Series A,3000000.0,Bangalore,To solve the urban waste problem by utilising local technologies and business models.,2010,"Triodos, Caspian","Mainak, Sreekrishna",2020
Public,Social Media,,30000000.0,New Delhi,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,2019,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners",Azhar Iqubal,2020
Legal Salah,LegalTech,Seed,1000000.0,Kolkata,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,2015,I2I Capitals,CA Abhinit Singh,2020
FanPlay,Gaming,Seed,,New Delhi,FanPlay Technologies operates as a real-money gaming startup.,2018,"Core91 Fund, Anupam Mittal","Bharat Gupta, Pritesh Kumar",2020
ECOSTP,Sanitation solutions,,19000000.0,Bangalore,Eco friendly zero power zero maintenance sewage treatment plant in India.,2017,Terwilliger Centre,"Simar Kohli, Tharun Kumar, Praseed KK",2020
Coralogix,SaaS startup,Series B,25000000.0,"San Francisco, California, United States",Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,2013,"2B Angels, Janvest Capital Partners","Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin",2020
Equiwatt,Tech company,,300000.0,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,2015,Rising Stars,"Johnson Fernandes, Ravneet Kaur",2020
Reliance Retail Ventures,E-commerce,,800000000.0,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2006,"General Atlantic, Kohlberg Kravis Roberts",Mukesh Ambani,2020
Zhangmen,Edtech,,400000000.0,"Shanghai, China",Zhangmen is an online tutoring platform provides tutoring courses to students.,2005,"CICC Alpha, VMS Asset Management",Yi Zhang,2020
AgroWave,AgriTech,,500000.0,Gurugram,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,2017,Sekhar Puli,Anu Meena,2020
Sapio Analytics,Tech company,,150000.0,Mumbai,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,2018,,"Ashwin Srivastava, Hardik Somani",2020
Taimei,HealthCare,,176000000.0,"Jiaxing, Zhejiang, China",Taimei Technology provides a cloud platform for clinical research collaboration.,2013,"Cowin Venture, ZSVC",Lu Zhao,2020
Avanse Financial Services,FinTech,,15000000.0,Mumbai,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",2012,International Finance Corporation,Amit Gainda,2020
Industry Buying,E-commerce,,15000000.0,New Delhi,India's largest industrial ecommerce platform,2013,"BlackSoil, BEENEXT","Rahul Gupta, Swati Gupta",2020
Hopscotch,E-commerce,,25000000.0,Mumbai,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",2011,"Marc Lore, Rise Capital",Rahul Anand,2020
Pristyn Care,HealthCare,,11000000.0,Gurugram,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,2018,"Sequoia Capital India, Hummingbird Ventures",Harsimarbir (Harsh) Singh,2020
WoodenStreet,Home Design,,1000000.0,Rajastan,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,2015,"IAN Fund, Rajasthan Venture Capital Fund","Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat",2020
ACKO,InsureTech,,60000000.0,Mumbai,Acko General Insurance is a private sector general insurance company in India.,2016,"RPS Ventures, Intact Ventures","Ruchi Deepak, Varun Dua",2020
Farmers Fresh Zone,AgriTech,,470000.0,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,2015,"Artha India Ventures, Nagaraja Prakasam",Pradeep PS,2020
Invento,AI Startup,,,Bangalore,Invento Robotics specializes in developing service robots intended for customer interactions.,2016,"Chiripal Group, Ratish Kumar Nair","Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan",2020
Infurnia,Tech Startup,,240000.0,Bangalore,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,2014,"Pallav Nadhani, Idein Ventures","Lovepreet Mann, Nikhil Kumar, Parul Jain",2020
AnalytIQSports's SuperCric,Entertainment,,,Bangalore,SuperCric is India's first strategy Cricket Manager simulation game,2019,,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",2020
Snowflake,Tech company,,3000000000.0,California,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,2012,"Salesforce Ventures, Dragoneer Investment Group","Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes",2020
GenieTalk,Tech company,,750000.0,Indore,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,2016,,"Santosh Kataria, Ankit Kimtee, Vivek Jain",2020
Classplus,EdTech,,10000000.0,Noida,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,2018,"Spiral Ventures, Surge","Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi",2020
Mobile Premier League,Entertainment,,74000000.0,Bangalore,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,2018,"Sequoia Capital India, Times Internet","Sai Srinivas Kiran G, Shubham Malhotra",2020
Fourth Partner Energy,Solar solution,,16000000.0,Hyderabad,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,2010,"responsAbility, Grameen Impact India (GIII)","Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian",2020
Flipkart,E-commerce,,62000000.0,Bangalore,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,2007,"Tencent Holdings, Walmart","Binny Bansal, Sachin Bansal",2020
Vivriti Capital,FinTech,,1000000.0,Chennai,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,2017,"Aspada, Creation Investments Capital Management, LLC","Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar",2020
InsuranceDekho,FinTech,,20000000.0,Ludhiana,The funding for branding and marketing activities as well as strengthening the product and technology teams,2017,GirnarSoft,Ankit Agrawal,2020
BestDoc,HealthCare,,2100000.0,Kochi,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,2016,,"Afsal Salu, Fayaz Bin Abdu, Soudabi",2020
Byju’s,EdTech,,500000000.0,Bangalore,An Indian educational technology and online tutoring firm,2011,"Owl Ventures, Tiger Global Management",Byju Raveendran,2020
Melorra,Jewellery startup,,12500000.0,Bangalore,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,2015,"Jamshed Jeejeebhoy, Symphony International Holdings","Krishna Kumar, Saroja Yeramilli",2020
Reliance,Multinational conglomerate company,,2200000000.0,Mumbai,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",1973,"Facebook, Google, KKR, Silver Lake",Dhirubhai Ambani,2020
Inflexor Ventures,FinTech,,10000000.0,Mumbai,Experienced Venture Capital-General Partner focused on Technology investments.,2020,,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",2020
Pandorum,Deeptech startup,,5060000.0,Bangalore,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,2011,"021 Capital, Karnataka Information Technology Venture Capital Fund",Tuhin Bhowmick,2020
SpeakIn,Social Network,,,Noida,"AI-enabled network of speakers and thought leaders, aka. experts",2018,Homage Ventures.,Deepshikha Kumar,2020
LetsUp,Publication,,,Mumbai,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",2015,,Suhas raikar,2020
Newsreach,Publication,,,Gujarat,NewsReach India offers partner publications a digital footprint,2018,Mumbai Angels,"Darshan Shah, Soniya Kundnani",2020
Dream11,Entertainment,,225000000.0,Mumbai,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,2008,"Steadview Capital, Tencent Holdings","Bhavit Sheth, Harsh Jain",2020
SignalX,SaaS platform,,750000.0,Hyderabad,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",2018,,Govind Balachandran,2020
JetSynthesys,Tech,,40000000.0,Mumbai,Gaming and entertainment startup,2012,"Adar C. Poonawalla, Kris Gopalakrishnan",Rajan Navani,2020
Vesta Space Technology,Tech Startup,,10000000.0,Pune,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,2018,,Arun Kumar Sureban,2020
Dozee,HealthTech,,1600000.0,Bangalore,Dozee offers health and wellness monitoring products.,2015,,Gaurav Parchani,2020
Rebel Foods,Food,,50000000.0,Pune,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin",2011,Coatue Management,"Jaydeep Barman, Kallol Banerjee",2020
Nykaa,Fashion,,24700000.0,Mumbai,Cosmetics & beauty products online,2012,Steadview Capital,Falguni Nayar,2020
Ketto,Finance,,7700000.0,Mumbai,"Crowdfunding, Charity, E-commerce",2012,"Mumbai Angels, Redcliffe Capital","Varun Sheth, Kunal Kapoor",2020
Suryoday,Finance,,800000.0,Mumbai,Banks that extends two distinct fixed deposit schemes,2008,"Gaja Capital, Kotak Life, Lok Capital",R. Baskar Babu,2020
SucSEED,Finance,,1300000.0,Hyderabad,Venture Partners,2016,"DR. Moti Vyas, Udit Goyal",Vikrant Varshney,2020
Unacademy,EdTech,,150000000.0,Bangalore,Unacademy is an Indian online education technology company,2015,"Nexus Venture Partners, Sequoia Capital","Gaurav Munjal, ‎Roman Saini‎",2020
Strata,Real Estate,,19067328.0,Bangalore,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments",2019,"Propstack, SAIF Partners","Lodha, Priyanka Rathore",2020
3one4 Capital,Venture capital,,100000000.0,Bangalore,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,2016,,"Pranav Pai, Siddarth Pai",2020
WE-Hub,Entreprenurship,,,Hyderabad,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,2018,,Deepthi Ravula,2020
Zomato,Food devlivery,,62000000.0,Haryana,Get online food delivery from restaurants near you,2008,"MacRitchie Investments, Baillie Gifford","Deepinder Goyal, Pankaj Chaddah",2020
Vicara,Tech Startup,,,Bangalore,A deep tech startup pioneering in motion-based interfaces and insights.,2017,,"Abhishek Satish, Adarsh Warrier",2020
Gaana,Entertainment,,51000000.0,Gurugram,Gaana is a commercial music streaming service providing free and licensed music.,2010,"Tencent Holdings, Times Internet",Pawan Agarwal,2020
EM3 Agri,AgriTech,,1000000.0,Noida,A pioneering organization in the farming-as-a service (FaaS) space,2013,"Global Innovation Fund, Soros Economic Development Fund","Rohtash Mal CMD, Adwitiya",2020
Plum,Cosmetics,,115000.0,Thane,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",2013,"Ronald Conway, Bay Partners",Shankar Prasad,2020
Odwen,Warehouse,,54000.0,Noida,India's first do-it-yourself warehouse management system.,2018,Prospect Partners.,Vijay Anand Bhagavatula,2020
Fasal,AgriTech,,20000.0,Bangalore,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,2018,"Omnivore, Zeroth.AI","Ananda Prakash Verma, Shailendra Tiwari",2020
Trukky,Logistics,,,Ahmedabad,"Transportation, logistics services & cargo services.",2015,Mumbai Angels.,"Saswat Sahu, Rishi Raj",2020
BankBazaar,Online financial service,,9000000.0,Chennai,Check your latest Credit Score and get your Credit Report online in India for Free,2008,"Ramesh Srinivasan, Amazon","Adhil Shetty, Arjun Shetty, Rati Shetty",2020
Specsmakers,Eyeglasses,,3000000.0,Chennai,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",2011,Eight Roads Ventures,Pratik Shah,2020
Grinntech,Battery design,,2000000.0,Dehradun,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability",2013,"Ashok Leyland, V Lakshmi Narayanan","Nikhilesh Mishra, Puneet Jain",2020
CreditMantri,Online credit management startup,,803146.0,Chennai,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,2012,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee",2020
Chai Waale,Beverage,,238000.0,Chennai,Given the rising trend in the number of tea stalls in the city,2018,"Gunavanth Vaid, Bharat Kumar Sohanraj",Vidur Maheswari,2020
Deepsync,Tech Startup,,300000.0,Bangalore,"Deepsync is a revolutionary way to record your content, without you really speaking.",2018,Venkat Raju,"Ishan Sharma, Rishikesh Kumar",2020
Byju’s,EdTech,,500000000.0,Bangalore,An Indian educational technology and online tutoring firm,2011,"Owl Ventures, Tiger Global Management",Byju Raveendran,2020
ConnectedH,HealthCare,,,Gurgaon,The company’s vision is simple – Connected Healthcare.,2016,,"Shubham Gupta, Suresh Singh",2020
Reliance Retail,E-commerce,,10220000.0,Mumbai,"Retailer delivering superior value to its customers, suppliers and shareholders.",2006,Silver Lake Partners,Mukesh Ambani,2020
QShala,EdTech,,300000.0,Bangalore,A platform that helps kids learn about life skills,2014,,"Sachin Ravi, Raghav Chakravarthy",2020
Pitstop,Car Service,,1020000.0,Bangalore,"Pitstop owns and operates a network of garages that provides car repair, detailing",2015,"Clairvest Group, Ontario Centres of Excellence",Mihir Mohan Mishra,2020
Zomato,Food devlivery,,100000000.0,Haryana,Get online food delivery from restaurants near you,2008,"MacRitchie Investments, Baillie Gifford","Deepinder Goyal, Pankaj Chaddah",2020
Customfit ai,SaaS startup,,,Bangalore,Operates on a SaaS model by providing a hyper-personalised website to users.,2019,,"Ashwin Kumar, Shoaib Mohammed",2020
Nirmata,Tech,,,San Franciscao,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,2013,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel",2020
Hire Me Car,TravelTech,Seed,,Noida,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,2015,US based NRI Investors,Anmol Singh Jaggi,2020
Oga Fit,Fitness startup,Pre-series A,,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2017,"Inflection Point Ventures, Mitesh Shah",Ashish Rawat,2020
ShipsKart,E-commerce,Pre-series A,200000.0,New Delhi,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",2018,Betatron,"Dhruv Sawhney, Vivek Sahi, Sunny Bagla",2020
SquadStack,Tech company,Series A,5000000.0,San Francisco,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.",2014,"Chiratae Ventures, Blume Ventures","Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati",2020
Financepeer,EdTech,Pre-series A,3000000.0,Mumbai,Financepeer is an AI based peer to peer lending platform.,2017,"Ravi Sanghvi, PitchRight Venture","Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye",2020
Cashify,E-commerce,Debt,10000000.0,Gurugram,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,2009,"Bessemer Venture Partners, CDH Investments","Amit Sethi, Mandeep Manocha, Nakul Kumar",2020
Etrio,EV startup,Series A,3000000.0,Hyderabad,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",2017,HNIs,Deepak MV,2020
Codeyoung,EdTech,Seed,,Bangalore,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,2019,Guild Capital,"Shailendra Dhakad, Rupika Taneja",2020
StayQrious,EdTech,Seed,2000000.0,Bangalore,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",2020,Y Combinator,"Aanand Srinivas, Avinash Anand, Shankar Ram A",2020
Sunstone Eduversity,EdTech,Series A,3000000.0,Gurugram,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,2014,Prime Venture Partners,"Ashish Munjal, Piyush Nangru",2020
Infilect,SaaS startup,Pre-series A,1500000.0,Bangalore,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,2015,"Mela Ventures, 1Crowd","Anand Prabhu Subramanian, Vijay Gabale",2020
MobiGarage,E-commerce,Pre-series A,,New Delhi,An ecommerce platform for refurbished electronics.,2017,,"Vaibhav Kapoor, Pulkit Kapoor",2020
Samunnati,Agriculture,Debt,20000000.0,Chennai,Samunnati is a financial service provider focused on agri value chains.,2014,"responsAbility, Accel",Anil Kumar,2020
WeInnovate Biosolutions,Startup laboratory,Seed,,Pune,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,2016,Chiratae ventures,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama",2020
Yummy Corp,Food Industry,Series B,12000000.0,"Tangerang, Jawa Barat, Indonesia","Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",2017,"Palm Drive Capital, Amatil X Ventures",Mario Suntanu,2020
Smallcase,FinTech,Series B,13400000.0,Bangalore,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,2015,"Sequoia Capital India, Blume Ventures","Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath",2020
Clairvolex,Tech Startup,Debt,2000000.0,California,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,2006,"JF Mauritius SPV, IndusAge Partners",Manoj Pillai,2020
Assiduus,E-commerce,Series A,1000000.0,Bangalore,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",,VC Firm K Partners,Somdutta Singh,2020
Brinton,HealthTech,Debt,1300000.0,California,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,2014,"India Alternatives Private Equity Fund, Tata Capital",Rahul Darda,2020
AFK Gaming,Entertainment,Pre-series A,200000.0,Mumbai,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,2012,,Nishant Patel,2020
Infarm,AgriTech,Series C,170000000.0,Berlin,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,2013,"Bonnier Ventures, Hanaco Venture Capital","Erez Galonska, Guy Galonska, Osnat Michaeli",2020
Zuper,SaaS startup,Seed,1100000.0,Seattle,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,2016,"Gemba Capital, Gunderson Dettmer",Vijay Narasiman,2020
mCaffeine,Personal care startup,Series B,2900000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2015,"RPSG Ventures, Amicus Capital","Tarun Sharma, Vikas Lachhwani",2020
Origa,FinTech,Debt,2000000.0,Andheri,The charioteer of your growth at all times.,2013,"500 Startups, ah! Ventures",Shrirang Tambe,2020
GullyBuy Software,Tech Startup,Pre-series A,543000.0,Pune,To deliver a solution that will provide shopping convenience to every consumer in India,2019,,Shirish Deodhar,2020
Recordent,FinTech,Seed,,Hyderabad,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,2019,,Harish Mamtani,2020
MPL,Entertainment,Series C,90000000.0,Bangalore,Mobile Premier League is the mobile e-Sports platform based in India.,2018,"Base Partners, GO Ventures","Shubham Malhotra, Sai Srinivas",2020
Penny,SaaS startup,Seed,1300000.0,Riyadh,Offer various development solutions and mainly focus on helping startups,2020,,"Iyad Aldalooj, Majid Aldalooj, Mohammed Ibrahim",2020
Onsitego,Customer service company,Series B,30000000.0,Mumbai,Onsitego is a customer service company for device and appliance repairs.,2010,"Accel, Zodius Capital",Kunal Mahipal,2020
Precily,SaaS  startup,Seed,,California,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,2017,"Windrose Capital, Anil Advani",Bharath Rao,2020
SmartClean,Tech Startup,Pre- series A,3400000.0,Singapore,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,2017,"Seeds Capital, AIM Smart City","Abhishek Mishra, Kush Agarwal, Lav Agarwal, Stella Hu",2020
ClanConnect,Marketing startup,Seed,600000.0,Delhi,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",,,"Kunal Kishore Sinha, Sagar Pushp",2020
Servify,Service industry,Series C,23000000.0,Mumbai,Servify is a self-learning platform that provides device management services and warranty solutions.,2015,"Blume Ventures, Tetrao",Sreevathsa Prabhakar,2020
ShareChat,Social media,Pre-series C,40000000.0,Bangalore,ShareChat is a social networking and regional content platform.,2015,"Lightspeed venture partners, saif partners","Ankush Sachdeva, Bhanu Pratap Singh, Bhanu Singh, Farid Ahsan",2020
Rephrase.ai,AI,Seed,1500000.0,Bangalore,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,2018,"Techstars Bangalore Accelerator, Techstars","Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla",2020
Melorra,Jewellery,Debt,8090000.0,Bangalore,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace",2015,"Shadows Holdings, Lightbox","Saroja Yeramilli, R Krishnakumar",2020
FabHotels,Hospitality,Series B,1030000.0,Gurugram,FabHotels is a network of 3 star budget hotels in India,2014,"RB Investments Pte. Ltd, Goldman Sachs","Adarsh Manpuria, Vaibhav Aggarwal",2020
EkAnek,Tech Startup,Edge,5040000.0,New Delhi,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,2018,"Lightspeed India Partners, Sequoia Capital India","Chandranshu Sinha, Kartik Sheth",2020
Cub McPaws,AR startup,Pre-series A,800000.0,Mumbai,Cub McPaws is a kids clothing brand.,2018,Venture Catalysts,"Shah, Abhay Bhat",2020
Zimyo,HR Tech startup,Seed,1500000.0,Gurgaon,Employee experience platform that empowers organizations to manage and retain great talent!,2018,"Abhishant Pant, Chiranth Patil","Ajay Kadyan, Kumar Mayank",2020
PumPumPum,Automotive Startup,Debt,360000.0,Gurgaon,Pumpumpum is a car rental company,2018,,"Tarun Lawadia, Sameer Kalra",2020
Burgerama,Food Startup,Pre-series A,,Gurgaon,Burgerama is a unit of Junket Foods Private Limited,2018,"Madison, Anicut",Kabir Bose,2020
